english_name,Characteristic,cuisine,category,English_ingredient,description, vegetarians,allergy,keywords,temp,Calories
Odeng Tang (Fish Cake Soup),"['Hot', 'earthy', 'mild', 'nutty']",Korean,['soup'],"['Assorted fish cake', 'leek', 'carrot', 'dingcho']","Odeng Tang, or Fish Cake Soup, is a light and savory Korean soup made with skewered fish cakes simmered in a clear, flavorful broth. The broth is typically prepared with dried anchovies, kelp, and radish, creating a mild, umami-rich base. The fish cakes, often made from ground fish and starch, are cut into strips or skewered, then added to the hot broth, allowing them to absorb its flavors. Odeng Tang is usually garnished with chopped green onions and served with a side of soy sauce or spicy dipping sauce. This comforting soup is popular for its warm, clean flavors and is especially enjoyed as a quick, satisfying meal or street food during colder weather.",0,['fish'],"['cut', 'colder', 'onion', 'Fish Cake Soup', 'starch', 'spicy', 'strip', 'odeng', 'food', 'Odeng Tang', 'soup', 'street', 'soy', 'cake', 'kelp', 'ground', 'Korean', 'weather', 'sauce', 'tang', 'broth']",warm,400
Jjajangmyeon (Black Bean Noodles),"['Sweet', 'salty', 'nutty']",Chinese,['noodle'],"['Onion', 'cabbage', 'pork', 'cucumber', 'green onions', 'pasta noodles']","Jjajangmyeon, or Black Bean Noodles, is a popular Korean-Chinese dish made with thick wheat noodles topped with a savory black bean sauce. The sauce, called jjajang, is created from a base of chunjang (black bean paste), which is stir-fried with diced pork or beef, onions, zucchini, and sometimes potatoes, adding a subtle sweetness and depth to the flavor. The ingredients are simmered together with a touch of sugar and sometimes oyster sauce, creating a rich, thick sauce that clings to the noodles. Jjajangmyeon is typically garnished with julienned cucumber and served with a side of pickled radish, which provides a refreshing contrast to the sauce’s robust flavors. This dish is loved for its hearty, satisfying taste and is often enjoyed as a comforting, filling meal.",1,[],"['jjajang', 'bean', 'Jjajangmyeon', 'onion', 'zucchini', 'Korean-Chinese', 'beef', 'sweetness', 'Black Bean Noodles', 'pork', 'jjajangmyeon', 'paste', 'cucumber', 'thick', 'depth', 'sugar', 'chunjang', 'wheat', 'contrast', 'sauce']",warm,700
Jjamppong (Spicy Seafood Noodles),"['Spicy', 'hot']",Chinese,['noodle'],"['Squid', 'pork', 'cabbage', 'carrot', 'pumpkin', 'onion', 'Cheongyang', 'leek', 'wave']","Jjamppong, or Spicy Seafood Noodles, is a Korean-Chinese dish featuring chewy wheat noodles in a spicy, red broth loaded with seafood and vegetables. The broth is made by stir-frying garlic, ginger, and gochugaru (Korean chili flakes) with a variety of vegetables like onions, cabbage, and mushrooms to build flavor, before adding a seafood or chicken stock for depth. An assortment of seafood, such as shrimp, squid, mussels, and clams, is added to the broth, giving it a briny richness and enhancing its flavor. The dish is typically topped with green onions and sometimes chili peppers for an extra kick. Known for its bold, spicy flavor and hearty ingredients, Jjamppong is a favorite for those seeking a warming, satisfying noodle soup with a spicy, seafood-forward taste.",0,[],"['clam', 'ginger', 'shrimp', 'onion', 'mushroom', 'spicy', 'jjamppong', 'chicken', 'cabbage', 'depth', 'chili', 'soup', 'vegetable', 'hearty', 'Spicy Seafood Noodles', 'Chinese', 'wheat', 'mussel', 'Korean', 'stock', 'richness', 'seafood', 'Jjamppong', 'chewy', 'kick', 'broth']",warm,600
Tangsuyuk (Sweet and Sour Pork),"['Sour', 'crispy', 'sweet', 'salty']",Chinese,"['meat', 'fried']","['Pork relief', 'salt', 'pepper', 'egg yolk', 'potato starch', 'onion', 'grape seed', 'yellow', 'red', 'green']","Tangsuyuk, or Sweet and Sour Pork, is a Korean-Chinese dish featuring crispy, battered pork pieces coated in a glossy, sweet-and-sour sauce. The pork is cut into bite-sized pieces, lightly battered with a starch coating, and deep-fried until golden and crispy. The sauce is made from a blend of vinegar, sugar, soy sauce, and water, creating a balanced flavor that is both tangy and sweet. Often, the sauce includes stir-fried vegetables like onions, carrots, bell peppers, and sometimes pineapple, adding texture and a hint of sweetness. The fried pork is tossed in the sauce just before serving, ensuring it remains crispy. Tangsuyuk is typically enjoyed with dipping sauces on the side and is popular for its satisfying combination of crispiness and the rich, flavorful sauce.",0,['eggs'],"['onion', 'tangsuyuk', 'sweet', 'starch', 'blend', 'water', 'carrot', 'sweetness', 'pork', 'vinegar', 'crispy', 'sugar', 'crispiness', 'hint', 'soy', 'Chinese', 'Sweet', 'Korean', 'Sour Pork', 'sauce', 'tangy', 'remains', 'Tangsuyuk']",warm,700
Jjajangbap (Rice with Black Bean Sauce),"['Sweet', 'nutty', 'salty']",Korean,['rice'],"['Curry pork', 'pumpkin', 'seafood mix', 'carrots', 'onions', 'cabbage', 'minced garlic', 'green onions', 'minced gang', 'Cheongju', 'jjajang powder', 'water']","Jjajangbap, or Rice with Black Bean Sauce, is a comforting Korean-Chinese dish that combines steamed rice with a savory black bean sauce. The sauce, known as jjajang, is made from chunjang (black bean paste), which is stir-fried with diced pork or beef, onions, zucchini, and sometimes potatoes, creating a thick, flavorful mixture. A touch of sugar and soy sauce is often added to balance the earthy richness of the black bean paste, resulting in a slightly sweet, savory taste. The hot, glossy sauce is poured over a bowl of rice, making it hearty and satisfying. Jjajangbap is usually garnished with fresh cucumber strips or green onions for added crunch and color, and it’s often served with pickled radish on the side for a refreshing contrast. This dish is loved for its deep, comforting flavors and is enjoyed as an easy, filling meal.",1,[],"['jjajang', 'touch', 'Black Bean Sauce', 'bean', 'jjajangbap', 'Jjajangbap', 'onion', 'zucchini', 'Korean-Chinese', 'beef', 'strip', 'pork', 'paste', 'cucumber', 'mixture', 'sugar', 'rice', 'Rice', 'soy', 'sauce', 'color', 'combine']",warm,650
Japchaebap (Rice with Stir-fried Glass Noodles),"['Sweet', 'salty', 'chewy', 'nutty']",Korean,['rice'],"['Japchae', 'chopped', 'chopped']","Japchaebap, or Rice with Stir-fried Glass Noodles, is a Korean dish that combines a serving of steamed rice with japchae, which are stir-fried glass noodles made from sweet potato starch. The japchae is prepared by stir-frying the glass noodles with a variety of colorful vegetables such as carrots, bell peppers, spinach, mushrooms, and onions, along with thinly sliced beef or other protein, seasoned with soy sauce, sesame oil, and a hint of sugar for a balanced sweet-savory flavor. The noodles are glossy, chewy, and absorb the rich flavors of the sauce and sesame oil. Japchaebap is typically garnished with sesame seeds and green onions, and sometimes with a sprinkle of chili pepper for a mild kick. This dish offers a satisfying blend of textures and flavors, combining the heartiness of rice with the flavorful, stir-fried noodles.",1,[],"['japchae', 'japchaebap', 'onion', 'offer', 'mushroom', 'starch', 'Glass Noodles', 'carrot', 'beef', 'seed', 'protein', 'spinach', 'sugar', 'hint', 'Rice', 'sesame', 'mild', 'pepper', 'Japchaebap', 'Korean', 'sauce', 'colorful', 'chewy', 'rice', 'noodle', 'oil', 'combine']",warm,650
Soy Sauce Egg Rice,"['Mild', 'nutty', 'soft', 'clean', 'light']",Korean,['rice'],"['Leek', 'cooking oil', 'soy sauce', 'egg', 'air rice', 'sesame oil', 'sesame powder']","Soy Sauce Egg Rice is a simple yet comforting dish that features a warm bowl of steamed rice topped with a savory soy sauce egg mixture. To prepare, a raw or soft-cooked egg is cracked over freshly steamed rice, then mixed with a splash of soy sauce and a drizzle of sesame oil. The heat from the rice gently cooks the egg, creating a creamy, velvety texture that coats each grain. Sometimes a bit of sugar is added to balance the saltiness, and additional toppings like chopped green onions, sesame seeds, or a sprinkle of nori (seaweed) are used to enhance the flavor. This quick and easy dish is loved for its umami-rich, satisfying taste and is enjoyed as a comforting meal at any time of day.",1,"['sesame', 'eggs', 'soy']","['saltiness', 'day', 'coat', 'simple', 'onion', 'egg', 'velvety', 'seed', 'seaweed', 'grain', 'mixture', 'drizzle', 'splash', 'sesame', 'soy', 'prepare', 'sauce', 'rice', 'oil']",warm,500
Mapo Tofu,"['Spicy', 'soft', 'nutty']",Chinese,['rice'],"['Tofu', 'pork crushed meat', 'minced wave', 'minced onion']","Mapo Tofu is a spicy and savory Chinese dish made with tender tofu cubes cooked in a rich, flavorful sauce that combines ground pork, fermented black beans, and a spicy chili bean paste (doubanjiang). The sauce is thickened with broth, soy sauce, and a touch of cornstarch, creating a bold, slightly numbing flavor due to the addition of Sichuan peppercorns, which give the dish its signature tingling heat. The tofu absorbs the sauce, making each bite soft and bursting with umami flavors. Often garnished with chopped green onions for a fresh contrast, Mapo Tofu is typically served hot and enjoyed over steamed rice, balancing the spicy, mouth-watering sauce with the mildness of the rice. This dish is celebrated for its satisfying combination of textures and complex flavors.",1,[],"['mildness', 'mapo', 'bean', 'enjoyed', 'onion', 'spicy', 'pork', 'paste', 'chili', 'doubanjiang', 'Mapo Tofu', 'Sichuan', 'Chinese', 'contrast', 'ground', 'tender', 'sauce', 'cornstarch', 'balancing', 'rice', 'tofu', 'combine']",warm,400
Bibimbap (Mixed Rice),"['Nutty', 'spicy', 'mild', 'rich']",Korean,['rice'],"['Pork', 'zucchini', 'onions', 'carrots']","Bibimbap, or Mixed Rice, is a classic Korean dish that combines warm rice with a colorful array of seasoned vegetables, protein, and a spicy-sweet sauce. Typical ingredients include julienned carrots, spinach, bean sprouts, mushrooms, and zucchini, along with a choice of protein like marinated beef (bulgogi) or a fried egg on top. The dish is completed with a generous dollop of gochujang (Korean chili paste), which adds a slightly spicy, savory depth when mixed in. Each ingredient is arranged separately over the rice for a visually appealing presentation, and diners mix everything together just before eating, blending the flavors and textures. Sometimes, sesame oil and sesame seeds are added for extra aroma and nuttiness. Bibimbap is celebrated for its balanced flavors, nutritious ingredients, and versatility, offering a satisfying meal in a single bowl.",1,[],"['bean', 'egg', 'zucchini', 'mushroom', 'beef', 'seed', 'protein', 'paste', 'array', 'bibimbap', 'bulgogi', 'everything', 'Mixed Rice', 'depth', 'chili', 'spinach', 'sprout', 'sesame', 'nuttiness', 'dollop', 'aroma', 'versatility', 'Korean', 'diner', 'rice', 'oil', 'combine']",warm,600
Dumpling Soup,"['Mild', 'soft', 'nutty']",Korean,['soup'],"['Frozen dumplings', 'eggs', 'leeks', 'carrots', 'onions']","Dumpling Soup, or *Mandu-guk* in Korean, is a comforting soup featuring soft dumplings served in a light, savory broth. The broth is typically made from beef or anchovy stock, seasoned with soy sauce, garlic, and sometimes a bit of sesame oil, creating a mild and flavorful base. The dumplings, filled with a mixture of minced pork, beef, tofu, vegetables, and seasonings, are gently simmered in the broth until tender. The soup is often garnished with sliced green onions, seaweed strips, and sometimes a beaten egg poured in at the end for added richness. Occasionally, rice cakes are added to make the dish more hearty. Dumpling Soup is known for its soothing flavors and is especially enjoyed as a warm, satisfying meal on cold days or as a traditional dish for Korean New Year celebrations.",0,['eggs'],"['Korean New Year', 'day', 'Dumpling Soup', 'end', 'onion', 'egg', 'beef', 'garlic', 'pork', 'dumpling', 'mixture', 'soup', 'hearty', 'cake', 'year', 'Korean', 'stock', 'sauce', 'tender', 'richness', 'tofu', 'broth', 'oil']",warm,350
Rice Cake Soup,"['Earthy', 'hot', 'mild', 'soft']",Korean,['soup'],"['Tteokguk', 'soup', 'leek', 'egg', 'water', 'minced', 'soy sauce', 'fish sauce', 'sesame oil', 'cooking oil', 'salt', 'pepper powder']","Rice Cake Soup, or Tteokguk, is a traditional Korean soup made with thinly sliced rice cakes served in a clear, savory broth. The broth is often prepared from beef or anchovy stock, seasoned with garlic, soy sauce, and a touch of sesame oil for depth. Thinly sliced cylindrical rice cakes are added to the simmering broth, where they soften and become chewy. Tteokguk is typically garnished with sliced green onions, toasted seaweed strips, and sometimes a beaten egg, which adds richness to the soup. A sprinkle of sesame seeds or a few slices of pan-fried egg garnish (thin layers of cooked egg yolk and egg white) is also common for extra flavor and color. This dish is traditionally enjoyed during Korean New Year, as eating it symbolizes good luck and gaining another year in age. Known for its warm, comforting taste and chewy texture, Rice Cake Soup is a beloved part of Korean holiday celebrations.",1,"['fish', 'sesame', 'eggs', 'soy']","['Korean New Year', 'eating', 'age', 'yolk', 'Tteokguk', 'onion', 'luck', 'egg', 'tteokguk', 'beef', 'seed', 'strip', 'sprinkle', 'anchovy', 'depth', 'soup', 'Rice Cake Soup', 'rice', 'sesame', 'soy', 'cake', 'year', 'another year in age', 'Korean', 'stock', 'sauce', 'chewy', 'color', 'oil']",warm,450
Clam Knife-Cut Noodles,"['Mild', 'clean']",Korean,"['noodle', 'soup']","['Raw noodles', 'clams', 'zucchini', 'small', 'medium size', 'leek', 'pepper', 'tuna', 'salt']","Clam Knife-Cut Noodles, or *Bajirak Kalguksu*, is a Korean noodle soup made with hand-cut wheat noodles and fresh clams in a light, flavorful broth. The broth is typically prepared by simmering clams with garlic, kelp, and sometimes anchovies, creating a delicate, savory base with a hint of ocean brininess. Knife-cut noodles, known for their chewy, slightly thick texture, are added to the broth and cooked until tender. Fresh clams are left in their shells, adding visual appeal and an extra layer of flavor as they open up in the hot broth. The dish is often garnished with green onions and sometimes a touch of chili for a mild spice. This comforting soup is enjoyed for its clean, refreshing taste and the satisfying texture of the hand-cut noodles, making it a popular choice for both everyday meals and a comforting treat.",0,[],"['clam', 'spice', 'onion', 'appeal', 'shell', 'chili', 'soup', 'hint', 'Clam Knife-Cut Noodles', 'wheat', 'brininess', 'kelp', 'bajirak', 'Korean', 'tender', 'chewy', 'noodle', 'broth']",warm,500
Shabu-shabu,"['Soft', 'mild', 'nutty']",Korean,"['rice', 'noodle', 'soup']","['Beef shabu -shabu', 'buttercup', 'oyster mushrooms', 'onions']","Shabu-shabu is a Japanese hot pot dish where thin slices of meat, usually beef, are cooked briefly in a pot of simmering broth, then dipped in flavorful sauces before eating. The broth is typically mild, made from kombu (kelp) and water, allowing the natural flavors of the ingredients to shine. Diners swish each piece of meat in the broth until just cooked, a process that gives the dish its name, mimicking the sound of ""shabu-shabu."" Along with meat, a variety of vegetables such as mushrooms, tofu, napa cabbage, and green onions are added to the pot, enhancing the flavor of the broth as they cook. The cooked items are often enjoyed with dipping sauces like ponzu (citrus soy sauce) and goma (sesame sauce), which add a tangy or nutty contrast to the savory ingredients. Once all the ingredients are finished, rice or noodles are typically added to the broth, absorbing its rich flavors and completing the meal. Shabu-shabu is celebrated for its interactive, communal dining experience and its fresh, delicate flavors.",0,[],"['Shabu', 'item', 'Diners', 'delicate', 'onion', 'shine', 'citrus', 'mushroom', 'ponzu', 'cook', 'water', 'goma', 'pot', 'meat', 'cabbage', 'kombu', 'sesame', 'soy', 'contrast', 'kelp', 'sauce', 'diner', 'Japanese', 'rice', 'tofu']",warm,350
Motsunabe (Offal Hot Pot),"['Earthy', 'nutty']",Japanese,['soup'],"['Platoon window', 'cabbage', 'leek', 'bean bean sprouts', 'tofu', 'red pepper', 'sesame', 'red pepper']","Motsunabe, or Offal Hot Pot, is a Japanese dish featuring a hearty broth filled with beef or pork offal (usually intestines) and a variety of vegetables. The broth is typically made from soy sauce or miso, with added garlic and chili peppers for depth and a subtle kick. The offal, known for its chewy texture, is simmered in the broth along with cabbage, garlic chives, and tofu, which absorb the rich, savory flavors. The dish is often topped with more chili peppers and garlic slices, enhancing its aromatic quality. After the meat and vegetables are eaten, noodles or rice are commonly added to the remaining broth, creating a flavorful end to the meal. Motsunabe is enjoyed for its robust flavors, high collagen content, and the satisfying communal experience it provides, especially popular during colder months.",0,['sesame'],"['offal', 'colder', 'content', 'end', 'collagen', 'beef', 'pork', 'Offal Hot Pot', 'miso', 'meat', 'cabbage', 'chili', 'motsunabe', 'months', 'sauce', 'Japanese', 'rice', 'tofu', 'kick', 'broth']",warm,600
Mille-feuille Nabe (Layered Hot Pot),"['Soft', 'nutty']",Japanese,"['soup', 'vegetables', 'meat']","['Korean beef', 'egg cabbage', 'sesame leaves', 'bok choy', 'million mushrooms', 'enoki mushrooms', 'shiitake mushrooms']","Mille-feuille Nabe, or Layered Hot Pot, is a Japanese dish that beautifully layers napa cabbage and thinly sliced pork in a pot to create a visually appealing, flower-like arrangement. The cabbage and pork slices are stacked alternately, then sliced into sections and placed vertically in the pot. This layering technique allows the flavors to meld as the ingredients cook. The pot is then filled with a light broth, usually made from dashi or water with a touch of soy sauce and sake, allowing the natural sweetness of the cabbage and the savory richness of the pork to infuse the soup. The hot pot is typically garnished with mushrooms, green onions, and sometimes shiso leaves for added aroma and texture. Mille-feuille Nabe is known for its simplicity, elegance, and comforting flavors, making it a popular choice for cold weather. Once cooked, it's enjoyed with dipping sauces like ponzu, adding a tangy contrast to the warm, savory broth.",0,"['sesame', 'eggs']","['leaf', 'Layered Hot Pot', 'section', 'nabe', 'onion', 'Mille', 'mushroom', 'arrangement', 'cook', 'ponzu', 'water', 'sweetness', 'pork', 'pot', 'cabbage', 'soup', 'dashi', 'soy', 'contrast', 'sake', 'infuse', 'weather', 'sauce', 'Japanese', 'richness', 'elegance', 'broth']",warm,700
Sukiyaki (Sweet and Savory Hot Pot),"['Sweet', 'nutty', 'soft']",Japanese,"['soup', 'meat']","['For shabu -shabu', 'shiitake mushrooms', 'enoki mushrooms', 'leek', 'cabbage', 'onion', 'udon', 'fertilized egg', 'cooking oil']","Sukiyaki is a Japanese hot pot dish featuring thinly sliced beef cooked in a sweet and savory sauce, along with a variety of vegetables and tofu. The dish is typically prepared at the table, where slices of beef are seared in a shallow iron pot, then simmered in a mixture of soy sauce, sugar, and mirin, creating a rich, flavorful broth. Vegetables like napa cabbage, mushrooms, green onions, and shirataki noodles (made from konjac) are added to the pot, soaking up the sauce and balancing the sweetness with earthy flavors. Cubes of tofu are also commonly included, absorbing the broth’s taste and adding a soft texture. Sukiyaki is often enjoyed by dipping each cooked ingredient into a raw beaten egg, which provides a creamy contrast to the sweet and salty flavors of the broth. This dish is loved for its warm, comforting taste and interactive, communal dining experience.",0,['eggs'],"['noodle', 'onion', 'sweet', 'egg', 'mushroom', 'beef', 'sweetness', 'Sukiyaki', 'pot', 'beaten', 'cabbage', 'mixture', 'sugar', 'konjac', 'shirataki', 'sukiyaki', 'iron', 'mirin', 'soy', 'contrast', 'salty', 'sauce', 'Japanese', 'tofu']",warm,750
Lamb Skewers,"['Nutty', 'spicy', 'chewy']",Chinese,['meat'],"['Gochujang', 'ketchup', 'soy sauce', 'sugar', 'oligosaccharide', 'chopped garlic', 'sesame seeds', 'tteokbokki cake']",,0,"['sesame', 'soy']",[],warm,300
Eggplant Rice Bowl,"['Nutty', 'soft', 'mild']",Korean,"['rice', 'vegetables']",['egg plant'],"Eggplant Rice Bowl is a simple yet flavorful dish that features tender, stir-fried eggplant served over a bed of steamed rice. The eggplant is typically cooked until soft and creamy, often stir-fried with garlic, ginger, and green onions for a fragrant base. A savory sauce made from soy sauce, mirin, and sometimes a touch of sugar or miso is added to the eggplant, creating a rich, umami flavor that absorbs into the soft flesh of the vegetable. Some variations include ground meat, like pork or chicken, which adds extra texture and protein. The dish is usually garnished with sesame seeds, chopped green onions, or a sprinkle of chili flakes for a bit of heat. Eggplant Rice Bowl is loved for its comforting, hearty flavors and is a satisfying choice for a quick and delicious meal.",1,['eggs'],"['absorbs', 'bit', 'eggplant', 'bed', 'ginger', 'onion', 'creamy', 'seed', 'Rice Bowl', 'pork', 'protein', 'sprinkle', 'miso', 'chicken', 'meat', 'chili', 'sugar', 'hearty', 'sesame', 'mirin', 'ground', 'tender', 'sauce', 'rice']",warm,400
Hot Pot (Chinese Hot Pot),"['Spicy', 'numbing']",Chinese,"['soup', 'meat', 'fried']","['Hot pot', 'natural seasoning', 'rat dung pepper', 'leek', 'chopped garlic', 'oyster sauce', 'chicken stock']","Hot Pot is a communal dining experience where a variety of ingredients are cooked in a simmering pot of flavorful broth placed at the center of the table. The broth can range from mild to spicy, with popular options like mushroom, tomato, herbal, or intensely spicy varieties made with peppercorns and chilies, which add a signature numbing heat. A selection of raw ingredients—thinly sliced meats, seafood, tofu, mushrooms, fresh vegetables, and noodles—are prepared for diners to cook directly in the bubbling pot. Each item is briefly submerged in the hot broth, absorbing its flavors, and then dipped in customized sauces made from ingredients like sesame oil, soy sauce, garlic, cilantro, and chili paste. This interactive meal is loved for its warming, layered flavors and the variety of textures and tastes that come from combining the different broths, ingredients, and sauces.",0,['shellfish'],"['tomato', 'item', 'table', 'mushroom', 'center', 'cook', 'spicy', 'cilantro', 'selection', 'paste', 'chilies', 'pot', 'meat', 'chili', 'vegetable', 'mild', 'soy', 'herbal', 'raw', 'sauce', 'diner', 'seafood', 'tofu', 'broth', 'oil']",warm,600
Tendon (Tempura Rice Bowl),"['Crispy', 'nutty', 'mild']",Japanese,"['rice', 'fried']","['Eggs', 'leeks', 'green onions']","Tendon, or Tempura Rice Bowl, is a Japanese dish that combines a bed of steamed rice with a variety of crispy, golden tempura pieces. The tempura typically includes prawns, fish, and seasonal vegetables like sweet potato, eggplant, and bell pepper, all lightly battered and deep-fried until they are light and crunchy. Once fried, the tempura is arranged over the rice and often drizzled with a sweet and savory tentsuyu sauce, made from soy sauce, mirin, and dashi, which enhances the flavor with a balanced umami taste. Tendon is commonly garnished with pickles or a sprinkle of green onions, adding freshness to the dish. Loved for its contrast of textures—fluffy rice, crispy tempura, and the rich sauce—Tendon is a satisfying meal that highlights the delicate flavors of tempura in a hearty, comforting bowl.",0,['eggs'],"['eggplant', 'bed', 'Tempura Rice Bowl', 'tempura', 'tendon', 'onion', 'bell pepper', 'sprinkle', 'tentsuyu', 'potato', 'crispy', 'vegetable', 'hearty', 'dashi', 'crispy tempura', 'mirin', 'contrast', 'highlight', 'prawn', 'sauce', 'Tendon', 'crunchy', 'Japanese', 'rice', 'combine']",warm,700
Kimbap (Rice Rolls),"['Mild', 'crunchy', 'nutty']",Korean,['rice'],"['Rice', 'Kimbab', 'ham', 'radish', 'cucumber', 'carrots', 'fish cake', 'eggs', 'flavor']","Kimbap, or Rice Rolls, is a popular Korean dish made by rolling seasoned rice and various fillings in a sheet of seaweed (*gim*). The rice is typically seasoned with sesame oil and salt, giving it a subtle nutty flavor. Common fillings include a mix of colorful ingredients like julienned carrots, spinach, pickled radish, and egg, as well as protein options like seasoned beef, fish cake, or crab sticks. Once the fillings are placed on top of the rice, the seaweed sheet is carefully rolled and then sliced into bite-sized rounds. Each piece offers a satisfying combination of flavors and textures, with the crisp seaweed wrapping, soft rice, and a medley of savory, sweet, and tangy fillings. Kimbap is often enjoyed as a convenient, on-the-go meal or snack, celebrated for its balance of taste and nutritious ingredients.",1,"['fish', 'eggs']","['kimbap', 'salt', 'roll', 'stick', 'egg', 'offer', 'Rice Rolls', 'snack', 'beef', 'carrot', 'medley', 'filling', 'spinach', 'crisp', 'sheet', 'crab', 'sesame', 'cake', 'Korean', 'mix', 'tangy', 'rice', 'oil']",warm,450
Ramen,"['earthy', 'deep', 'rich']",Korean,"['noodle', 'soup']","['Ramen', 'green onions', 'cheongyang pepper']","Ramen is a flavorful noodle soup made by combining chewy wheat noodles with a rich, savory broth and a variety of toppings. The broth, which is often simmered for hours, can range from creamy and intense to light and clear, with popular bases like pork bone (tonkotsu), soy sauce (shoyu), salt (shio), and miso. Once the broth is prepared, the noodles are added and cooked until they have a slightly firm texture that holds up well in the soup. Common toppings include slices of chashu (braised pork), a soft-boiled egg with a creamy yolk, nori (seaweed), bamboo shoots, and green onions. Additional ingredients like corn, bean sprouts, or a sprinkle of sesame seeds may be added for extra flavor and texture. Each bowl offers a comforting balance of rich broth, tender meat, and flavorful toppings, making it a satisfying and layered meal.",1,[],"['salt', 'yolk', 'ramen', 'bean', 'chashu', 'Ramen', 'onion', 'nori', 'egg', 'tonkotsu', 'seed', 'pork', 'miso', 'sprinkle', 'shoyu', 'meat', 'soup', 'sprout', 'light', 'sesame', 'bone', 'soy', 'wheat', 'corn', 'sauce', 'shio', 'tender', 'broth']",warm,500
Tteokbokki (Spicy Rice Cakes),"['Spicy', 'sweet', 'chewy', 'nutty']",Korean,['stew'],"['Tteokbokki', 'water', 'green onions', 'sesame seeds']","Tteokbokki, or Spicy Rice Cakes, is a popular Korean dish made with chewy, cylindrical rice cakes cooked in a rich, spicy-sweet sauce. The sauce is typically made from gochujang (Korean chili paste) and gochugaru (Korean chili flakes), which give it a deep red color and bold, slightly smoky flavor. To balance the heat, sugar and soy sauce are added, creating a harmonious blend of sweet, spicy, and savory notes. Often, additional ingredients like fish cakes, boiled eggs, and green onions are included, adding layers of texture and flavor. The rice cakes absorb the sauce, becoming soft yet retaining their chewy texture. Tteokbokki is commonly garnished with sesame seeds and chopped green onions for extra flavor and presentation. This dish is loved for its comforting, fiery taste and satisfying texture, making it a popular street food and snack.",1,['sesame'],"['tteokbokki', 'onion', 'egg', 'sweet', 'spicy', 'blend', 'snack', 'seed', 'note', 'Rice Cakes', 'paste', 'food', 'chili', 'sugar', 'street', 'rice', 'sesame', 'soy', 'cake', 'Korean', 'sauce', 'Tteokbokki', 'deep', 'chewy', 'color']",warm,500
Spicy Chewy Noodles,"['Chewy', 'spicy']",Korean,['noodle'],"['Noodles', 'cucumbers', 'cabbage', 'carrots', 'bean sprouts', 'lettuce', 'boiled eggs', 'sesame oil']","Spicy Chewy Noodles, or *Bibim Guksu*, is a Korean dish featuring thin, chewy wheat or buckwheat noodles tossed in a spicy, tangy sauce. The sauce is typically made from gochujang (Korean chili paste), vinegar, soy sauce, sesame oil, and a touch of sugar, giving it a balanced flavor that is both spicy and slightly sweet. The noodles are mixed with the sauce until fully coated, and often garnished with julienned cucumber, sliced boiled eggs, and sesame seeds for added texture and freshness. Sometimes thinly sliced carrots, cabbage, or even kimchi are added to bring additional crunch and depth of flavor. Spicy Chewy Noodles are enjoyed cold, making this dish a refreshing and bold choice, especially during warmer weather. Known for its vibrant flavors and satisfying chewiness, this noodle dish is both invigorating and filling.",1,"['sesame', 'eggs']","['touch', 'chewiness', 'invigorating', 'egg', 'refreshing', 'spicy', 'seed', 'carrot', 'paste', 'kimchi', 'cucumber', 'vinegar', 'cabbage', 'depth', 'chili', 'filling', 'sugar', 'freshness', 'sesame', 'soy', 'wheat', 'bibim', 'Korean', 'weather', 'sauce', 'tangy', 'chewy', 'buckwheat', 'noodle', 'cold', 'Bibim Guksu*', 'oil']",warm,600
Janchi Guksu (Banquet Noodles),"['Mild', 'soft', 'nutty', 'clean']",Korean,['noodle'],"['Single', 'anchovy broth', 'zucchini', 'carrots', 'mushrooms', 'kimchi', 'soy sauce', 'salt', 'egg']","Janchi Guksu, or Banquet Noodles, is a Korean noodle dish featuring thin wheat noodles served in a light, savory broth. The broth, often made from anchovies, kelp, and sometimes beef, has a delicate flavor that complements the simplicity of the dish. Once the noodles are cooked, they are placed in the broth and garnished with thinly sliced egg (both yolk and white), julienned carrots, zucchini, and sometimes kimchi or dried seaweed for added flavor and texture. The dish is often finished with a sprinkle of sesame seeds and chopped green onions. Janchi Guksu is known for its comforting and mild taste, making it a popular dish for celebrations and gatherings, as well as a soothing meal on colder days. Diners can customize the flavor with a side of soy sauce-based dipping sauce, adding depth and a bit of saltiness to the delicate broth.",1,"['eggs', 'soy']","['bit', 'day', 'complement', 'Diners', 'yolk', 'colder', 'delicate', 'Janchi Guksu', 'colder days', 'janchi', 'guksu', 'onion', 'egg', 'zucchini', 'seed', 'carrot', 'seaweed', 'banquet', 'sesame', 'soy', 'wheat', 'Korean', 'Banquet Noodles', 'sauce', 'diner', 'noodle', 'broth']",warm,450
